Name,Value
 Eden Huts Restaurant,891
 Eden Park,892
 Edo Restaurant  Bar  Itc Gardenia,893
 Eggfactor  Street House,894
 Eggstacy,895
 Eggzotic,896
 El Salver,897
 Elegant Dining,898
 Elements  Mapple Express,899
 Elements Eatery,900
 Elmas Restaurant,901
 ElongoS,902
 Ember The Calabash,903
 Embers  Nandhana Grand Hotel,904
 Empire Juice Shop,905
 Empire Restaurant,906
 Enchanted Garden,907
 Energy Addaa,908
 Enerjuvate Studio  Cafe,909
 Ente Keralam,910
 Entree Cafe,911
 Entropy Cafe,912
 Equinox Bar  Doubletree Suites By Hilton,913
 Esfahan Restaurant,914
 Eshanya,915
 Eshmeet Da Dhaba,916
 Esplanade,917
 Estia  Aloft Hotel,918
 Euki,919
 Eurasia Pasta And Barbeque By Little Italy,920
 Faasos,921
 Fabelle Chocolate Boutique  Itc Gardenia,922
 Fabelle Chocolate Boutique  Itc Windsor,923
 Fabindia Cafe,924
 Facebake,925
 FalafelS  The Lebanese Haus,926
 Falahaar,927
 Families Food Court,928
 Fandom At GillyS Redefined,929
 Fanoos,930
 Farzi Cafe,931
 Fat Buddha,932
 Fat Chef Biryani Wale,933
 FatsoS,934
 Fattoush,935
 Fava,936
 Fava Bistro,937
 Fazzito Kitchen,938
 Feast  Sheraton Grand Bangalore Hotel At Brigade,939
 Feast  Sheraton Grand Bengaluru Whitefield Hotel ,940
 Feast India Co,941
 Feaster,942
 FeelHome,943
 FennyS Lounge And Kitchen,944
 FiddlerS Green,945
 Fiero Pizzeria,946
 Fill N Chill Resto Bar  Pub,947
 Fillers,948
 Filmy Kitchen,949
 Firangi Bake,950
 Fire Station,951
 Firehouse  Bar  Kitchen,952
 Firewood Biryani,953
 Fish  Fries Restaurant,954
 Fish Chain,955
 Fish Corner,956
 Fishing Boat,957
 Fishing Boat  Hotel Goyal Residency,958
 Fishland,959
 Fishland 15,960
 Five Spice Dining,961
 Five Star Cafe,962
 Five Star Chicken,963
 Flavor Of Tibet,964
 Flavors Of India,965
 Flavors Of North,966
 Flavorsome Bakes,967
 Flavour A Azam,968
 Flavour Of China,969
 Flavours  Octave Hotel  Spa,970
 Flavours Inn,971
 Flavours Radha Hometel,972
 Flechazo,973
 Float,974
 Float Brewery,975
 FlouredBaked With Love,976
 Flow  Terrace Bar  Grill,977
 Flying Cakes,978
 Fnc Seafood,979
 Folklore Restaurant,980
 Food And You,981
 Food Junction,982
 Food Magic Restaurant,983
 Food Mood,984
 Food Point,985
 Food Ras,986
 Food Springs,987
 Food Theory,988
 Food Zone,989
 Foodhall,990
 Foodiction,991
 Foodie,992
 Foodies Choice,993
 Foodies Delight,994
 Foodies Express,995
 Foodiesthan,996
 Foodishq,997
 Foodism,998
 Foody Baba,999
 FoodyS,1000
 Foodzoo,1001
 Forage,1002
 Foreign Cafe,1003
 Fort Kochi,1004
 Foxtrot,1005
 Foxtrot  House Of Subculture,1006
 Fragrant Kitchen,1007
 Fresh N Grills,1008
 Fresh Pressery Cafe,1009
 Fresh Veg,1010
 Freshkhilao,1011
 Freshmenu,1012
 Freskka,1013
 FriendS Cafe,1014
 FriendS Own,1015
 Friends Diner,1016
 Friends Night Kitchen,1017
 Friendz Zone,1018
 Fritz Haber,1019
 Frootality,1020
 Frozen Bottle,1021
 Frozen Coast,1022
 Frozenheit,1023
 Fuel Resto Bar,1024
 Fujan,1025
 Fujian Express,1026
 Fullyfilled,1027
 Fun Kitchen,1028
 Funjabi,1029
 Funky Punjab,1030
 Fusion Lounge,1031
 Fusion Tadka,1032
 Fusion Theory,1033
 Gali Parathae Wali,1034
 GalitoS,1035
 GamS Delicacy,1036
 Gama Gama,1037
 Game Of Tandoors,1038
 Ganache  The RitzCarlton,1039
 Garma Garam,1040
 Gelato Italiano,1041
 Ghar Ka Chulha,1042
 Ghar Ka Khana,1043
 Ghee Biryanis,1044
 Ghee Positive,1045
 GillyS Restobar,1046
 Ging  Royal Orchid Central,1047
 Ginger,1048
 Ginger  Garlic,1049
 Ginger Greens,1050
 Ginseng  Royal Orchid Hotel,1051
 Giselle Resto Cafe,1052
 Give Me 5 Cafe,1053
 Gkt Biryani World,1054
 Glassy,1055
 GlenS Bakehouse,1056
 Global Flavors,1057
 Gmt  Gelateria Montecatini Terme,1058
 Go Italia,1059
 Go Native,1060
 Goa 0 Km,1061
 Gobble Up Churros Cafe,1062
 Godavari Delights,1063
 Gods Own Cafe,1064
 GogulaS Sweets  Chats,1065
 Gokul Kuteera,1066
 Gokul Veg,1067
 Gold Bean,1068
 Gold Line Breadz,1069
 Golden Oak  La Marvella Sarovar Premiere Hotel,1070
 Golden Restaurant,1071
 Golden Rice,1072
